timepoint,altitude,latlng,watts,moving,cadence,velocity_smooth,time,heartrate,grade_smooth,distance
535,2.2,"[52.115628, 4.374221]",76,True,67,6.06,668,114,-1.6,3148.5
536,2.2,"[52.11559, 4.374154]",80,True,68,5.96,669,114,-0.8,3154.9
537,2.0,"[52.11555, 4.374089]",101,True,67,6.12,670,114,0.0,3161.7
538,2.0,"[52.115512, 4.374024]",110,True,66,6.28,671,113,0.0,3167.9
539,2.2,"[52.115475, 4.373961]",101,True,66,6.2,672,114,0.8,3173.7
540,2.2,"[52.115438, 4.373895]",108,True,66,6.24,673,114,0.8,3179.7
541,2.2,"[52.115401, 4.373825]",86,True,65,6.14,674,113,0.8,3185.6
542,2.2,"[52.115366, 4.373751]",106,True,67,6.12,675,114,0.8,3192.3
543,2.4,"[52.115331, 4.373675]",117,True,67,6.2,676,114,0.0,3198.9
544,2.4,"[52.115294, 4.373599]",116,True,66,6.38,677,114,-0.8,3205.6
545,2.2,"[52.115255, 4.373531]",129,True,71,6.52,678,114,-1.5,3212.3
546,2.0,"[52.115213, 4.373469]",137,True,66,6.66,679,114,-0.8,3218.9
547,2.0,"[52.115168, 4.373416]",137,True,71,6.58,680,114,0.8,3225.2
548,2.2,"[52.115125, 4.373364]",128,True,72,6.28,681,114,1.6,3230.3
549,2.4,"[52.115077, 4.373303]",126,True,72,6.3,682,113,1.6,3237.1
550,2.4,"[52.115031, 4.373237]",111,True,74,6.28,683,114,0.7,3243.7
551,2.4,"[52.114983, 4.37317]",98,True,71,6.4,684,114,-0.7,3250.9
552,2.4,"[52.11494, 4.373102]",92,True,76,6.38,685,114,-1.5,3257.1
553,2.2,"[52.114896, 4.373035]",97,True,72,6.7,686,114,-1.5,3263.8
554,2.0,"[52.114855, 4.372963]",87,True,72,6.72,687,114,-1.5,3270.7
555,2.0,"[52.114813, 4.372889]",84,True,72,6.74,688,114,-0.8,3277.4
556,2.0,"[52.114772, 4.372822]",86,True,69,6.54,689,114,0.0,3283.6
557,2.0,"[52.11473, 4.37276]",92,True,72,6.6,690,114,0.8,3290.1
558,2.0,"[52.114691, 4.372696]",115,True,71,6.62,691,114,0.8,3296.9
559,2.2,"[52.114649, 4.372629]",114,True,70,6.56,692,115,1.5,3303.5
560,2.2,"[52.114608, 4.372564]",106,True,70,6.54,693,114,2.3,3310.1
561,2.4,"[52.114566, 4.372498]",104,True,70,6.6,694,114,1.5,3316.6
562,2.6,"[52.114521, 4.372432]",98,True,69,6.68,695,114,2.2,3323.5
563,2.6,"[52.114477, 4.372364]",106,True,71,6.7,696,114,1.5,3330.4
564,2.8,"[52.114436, 4.372298]",149,True,71,6.68,697,114,0.0,3336.9
565,2.8,"[52.114394, 4.372234]",144,True,71,6.6,698,114,0.0,3343.1
566,2.6,"[52.114351, 4.37217]",132,True,70,6.62,699,113,-0.8,3349.7
567,2.6,"[52.114308, 4.372105]",124,True,71,6.52,700,114,-0.8,3356.1
568,2.6,"[52.114266, 4.372039]",113,True,72,6.44,701,114,0.0,3362.6
569,2.6,"[52.114222, 4.371972]",108,True,70,6.5,702,114,0.0,3369.4
570,2.6,"[52.114181, 4.371905]",112,True,72,6.56,703,114,-0.8,3375.9
571,2.6,"[52.114139, 4.371841]",121,True,71,6.52,704,114,-1.6,3382.3
572,2.4,"[52.114098, 4.371776]",115,True,69,6.56,705,115,-2.4,3388.9
573,2.2,"[52.114058, 4.371714]",114,True,70,6.46,706,114,-2.4,3394.9
574,2.0,"[52.114018, 4.37165]",122,True,67,6.32,707,114,-2.4,3401.0
575,2.0,"[52.113978, 4.371585]",116,True,69,6.28,708,115,-1.6,3407.3
576,1.8,"[52.113936, 4.37152]",128,True,73,6.26,709,115,0.0,3413.6
577,1.8,"[52.113895, 4.371453]",113,True,68,6.3,710,115,0.0,3420.4
578,2.0,"[52.113855, 4.371388]",105,True,70,6.34,711,115,0.8,3426.6
579,2.0,"[52.113814, 4.371323]",114,True,70,6.38,712,115,0.8,3432.9
580,2.0,"[52.113774, 4.371255]",118,True,70,6.42,713,114,0.8,3439.4
581,2.0,"[52.113733, 4.371186]",120,True,68,6.48,714,115,0.8,3446.0
582,2.2,"[52.113691, 4.371117]",113,True,71,6.44,715,115,0.0,3452.6
583,2.2,"[52.11365, 4.37105]",112,True,72,6.54,716,115,0.0,3459.3
584,2.0,"[52.113608, 4.370983]",116,True,71,6.54,717,115,-1.5,3465.6
585,2.0,"[52.113566, 4.370913]",111,True,73,6.52,718,115,-1.5,3472.0
586,1.8,"[52.113522, 4.37084]",102,True,73,6.66,719,115,-0.7,3479.3
587,1.8,"[52.113478, 4.370772]",90,True,71,6.66,720,116,-0.7,3485.9
588,1.8,"[52.113434, 4.370702]",94,True,72,6.7,721,116,-0.7,3492.8
589,1.8,"[52.113391, 4.370635]",114,True,71,6.8,722,116,-0.7,3499.6
590,1.6,"[52.113347, 4.370567]",119,True,77,6.84,723,115,-0.8,3506.2
591,1.6,"[52.113303, 4.370502]",109,True,72,6.7,724,115,-1.5,3512.8
592,1.6,"[52.11326, 4.370434]",103,True,70,6.68,725,114,-0.7,3519.3
593,1.4,"[52.113215, 4.370365]",99,True,75,6.64,726,114,-0.7,3526.0
594,1.4,"[52.113168, 4.370298]",97,True,72,6.72,727,114,-1.4,3533.2
595,1.4,"[52.113122, 4.37023]",91,True,72,6.76,728,114,-0.7,3540.0
596,1.2,"[52.113076, 4.370164]",88,True,73,6.84,729,114,-1.5,3547.0
597,1.2,"[52.113032, 4.370096]",98,True,73,6.94,730,114,-1.5,3554.0
598,1.0,"[52.11299, 4.370029]",87,True,72,6.94,731,114,-0.8,3560.7
599,1.0,"[52.11295, 4.369965]",104,True,72,6.72,732,113,-0.8,3566.8
600,1.0,"[52.112907, 4.369895]",109,True,71,6.7,733,113,0.0,3573.5
601,1.0,"[52.112864, 4.369832]",112,True,69,6.58,734,113,0.0,3579.9
602,1.0,"[52.112821, 4.369768]",102,True,75,6.52,735,113,-0.8,3586.6
603,1.0,"[52.112779, 4.369704]",105,True,67,6.38,736,114,-0.8,3592.6
604,0.8,"[52.112736, 4.369638]",105,True,70,6.46,737,113,-0.8,3599.1
605,0.8,"[52.112692, 4.369571]",92,True,68,6.42,738,113,0.0,3605.6
606,0.8,"[52.11265, 4.369507]",68,True,70,6.46,739,114,1.5,3612.2
607,1.0,"[52.112608, 4.369439]",77,True,69,6.4,740,113,2.3,3618.6
608,1.2,"[52.112568, 4.369367]",119,True,67,6.62,741,113,3.0,3625.7
609,1.4,"[52.112525, 4.369302]",122,True,74,6.62,742,114,1.4,3632.2
610,1.6,"[52.112478, 4.369236]",117,True,74,6.7,743,113,0.7,3639.1
611,1.4,"[52.112431, 4.369168]",112,True,73,6.82,744,114,-1.4,3646.3
612,1.4,"[52.112387, 4.369096]",102,True,73,6.9,745,114,-2.1,3653.1
613,1.0,"[52.112342, 4.369025]",87,True,75,6.9,746,114,-1.4,3660.2
614,1.0,"[52.112298, 4.368955]",111,True,75,6.98,747,114,-1.4,3667.1
615,1.0,"[52.112253, 4.368886]",108,True,73,6.98,748,114,0.0,3674.0
616,1.0,"[52.112206, 4.368824]",101,True,72,6.94,749,114,0.0,3681.0
617,1.0,"[52.112162, 4.368754]",105,True,75,6.9,750,114,0.0,3687.6
618,1.0,"[52.112118, 4.368684]",101,True,75,6.86,751,113,-0.7,3694.5
619,1.0,"[52.112073, 4.368614]",93,True,75,6.86,752,114,-1.5,3701.4
620,0.8,"[52.112029, 4.368546]",90,True,74,6.82,753,114,-1.5,3708.1
621,0.6,"[52.111983, 4.368476]",105,True,73,6.82,754,113,-1.5,3715.1
622,0.6,"[52.111941, 4.368407]",107,True,79,6.86,755,114,-0.7,3721.9
623,0.6,"[52.111897, 4.368337]",122,True,69,6.82,756,114,0.0,3728.6
624,0.6,"[52.111852, 4.368268]",116,True,75,6.84,757,114,0.0,3735.6
625,0.6,"[52.111808, 4.368199]",104,True,75,6.9,758,115,0.7,3742.6
626,0.6,"[52.111766, 4.368133]",99,True,76,6.8,759,115,0.7,3749.1
627,0.8,"[52.111722, 4.368064]",103,True,72,6.78,760,116,0.7,3755.8
628,0.8,"[52.111678, 4.367995]",110,True,75,6.78,761,116,0.7,3762.5
629,0.8,"[52.111634, 4.367925]",106,True,72,6.74,762,116,0.0,3769.3
630,0.8,"[52.111591, 4.367853]",108,True,75,6.7,763,116,-0.7,3776.1
631,0.8,"[52.111548, 4.36778]",104,True,75,6.74,764,117,-0.7,3782.8
632,0.6,"[52.111504, 4.36771]",101,True,73,6.76,765,117,-0.7,3789.6
633,0.6,"[52.111458, 4.367641]",94,True,72,6.8,766,116,0.0,3796.5
634,0.6,"[52.111414, 4.367569]",90,True,69,6.86,767,116,0.0,3803.6
635,0.8,"[52.111372, 4.367502]",140,True,70,6.82,768,116,0.7,3810.2
636,0.6,"[52.111327, 4.367434]",130,True,73,6.86,769,116,1.5,3817.1
637,0.8,"[52.111284, 4.367366]",108,True,72,6.78,770,117,0.0,3823.5
638,1.0,"[52.111241, 4.367301]",113,True,73,6.78,771,116,0.0,3830.4
639,0.8,"[52.111197, 4.367231]",110,True,73,6.7,772,116,-0.7,3837.1
640,0.6,"[52.111152, 4.367162]",108,True,71,6.74,773,117,-1.5,3843.9
641,0.6,"[52.111108, 4.367095]",96,True,72,6.68,774,116,-0.7,3850.5
642,0.6,"[52.111062, 4.367029]",98,True,72,6.82,775,116,0.0,3857.6
643,0.6,"[52.111019, 4.366964]",103,True,73,6.78,776,117,0.7,3864.3
644,0.6,"[52.110977, 4.366899]",114,True,71,6.7,777,116,0.8,3870.6
645,0.8,"[52.110934, 4.366832]",121,True,71,6.66,778,116,0.8,3877.2
646,0.8,"[52.110889, 4.366765]",118,True,72,6.66,779,117,0.7,3883.8
647,0.8,"[52.110845, 4.366696]",105,True,69,6.58,780,117,0.0,3890.5
648,0.8,"[52.110801, 4.366626]",113,True,73,6.7,781,117,-0.7,3897.8
649,0.8,"[52.110758, 4.366558]",115,True,71,6.78,782,117,0.0,3904.5
650,0.6,"[52.110719, 4.36649]",113,True,72,6.68,783,116,0.0,3910.6
651,0.8,"[52.110676, 4.366421]",109,True,70,6.66,784,117,0.0,3917.1
652,0.8,"[52.110632, 4.366352]",114,True,72,6.74,785,117,0.7,3924.2
653,0.8,"[52.110589, 4.366284]",130,True,73,6.62,786,117,0.7,3930.9
654,0.8,"[52.110547, 4.366219]",122,True,69,6.6,787,116,0.0,3937.5
655,1.0,"[52.110504, 4.366156]",116,True,72,6.66,788,117,0.0,3943.9
656,0.8,"[52.110459, 4.366093]",124,True,72,6.7,789,117,0.0,3950.6
657,0.8,"[52.110416, 4.366028]",127,True,72,6.54,790,117,-0.8,3956.9
658,0.8,"[52.110372, 4.36596]",112,True,72,6.54,791,117,0.0,3963.6
659,0.8,"[52.110327, 4.365893]",96,True,73,6.6,792,117,0.0,3970.5
660,0.8,"[52.110282, 4.365826]",89,True,71,6.68,793,117,0.0,3977.3
661,0.8,"[52.110238, 4.365758]",76,True,71,6.7,794,117,0.7,3984.1
662,0.8,"[52.110193, 4.365691]",90,True,73,6.82,795,117,0.7,3991.0
663,1.0,"[52.11015, 4.365624]",104,True,71,6.78,796,117,0.0,3997.5
664,1.0,"[52.110105, 4.365554]",128,True,73,6.78,797,117,0.0,4004.4
665,0.8,"[52.110064, 4.365485]",135,True,73,6.78,798,117,-0.7,4011.2
666,0.8,"[52.110021, 4.365414]",127,True,84,6.74,799,117,-0.7,4017.8
667,0.8,"[52.10998, 4.365344]",117,True,72,6.72,800,117,0.0,4024.6
668,0.8,"[52.109934, 4.365277]",129,True,77,6.78,801,117,0.0,4031.4
669,0.8,"[52.109886, 4.36521]",129,True,69,6.72,802,117,0.0,4038.0
670,0.8,"[52.109841, 4.365139]",138,True,71,6.8,803,118,0.0,4045.2
671,0.8,"[52.109794, 4.365068]",148,True,76,6.88,804,118,0.0,4052.2
672,0.8,"[52.109748, 4.364999]",129,True,72,6.92,805,118,0.7,4059.2
673,0.8,"[52.109705, 4.364931]",124,True,75,6.9,806,118,0.7,4065.9
674,1.0,"[52.10966, 4.364863]",108,True,73,6.94,807,118,0.7,4072.7
675,1.0,"[52.109615, 4.364794]",104,True,74,6.88,808,118,0.0,4079.6
676,1.0,"[52.10957, 4.364726]",98,True,71,6.82,809,118,-0.7,4086.3
677,0.8,"[52.109528, 4.364657]",124,True,75,6.8,810,118,-1.5,4093.2
678,0.8,"[52.109484, 4.364589]",116,True,78,6.78,811,117,-1.4,4099.8
679,0.6,"[52.109438, 4.364519]",107,True,73,6.84,812,118,-0.7,4106.9
680,0.6,"[52.109392, 4.364452]",112,True,73,6.86,813,118,-0.7,4113.9
681,0.6,"[52.109349, 4.364382]",103,True,73,6.88,814,118,-0.7,4120.7
682,0.6,"[52.109307, 4.364315]",100,True,75,6.82,815,118,0.0,4127.3
683,0.4,"[52.109263, 4.364244]",107,True,73,6.86,816,118,0.0,4134.1
684,0.6,"[52.109218, 4.364173]",103,True,73,6.82,817,118,-0.7,4141.0
685,0.6,"[52.109174, 4.364101]",98,True,74,6.82,818,118,0.0,4148.0
686,0.4,"[52.109129, 4.364032]",99,True,75,6.84,819,118,-0.7,4154.9
687,0.4,"[52.109082, 4.363963]",98,True,75,6.96,820,118,-0.7,4162.1
688,0.4,"[52.109036, 4.363894]",106,True,74,6.94,821,118,0.0,4168.8
689,0.4,"[52.10899, 4.363824]",110,True,73,6.94,822,117,0.0,4175.7
690,0.4,"[52.108944, 4.363753]",110,True,74,7.0,823,118,-0.7,4183.0
691,0.4,"[52.108898, 4.363685]",93,True,73,7.04,824,117,-0.7,4190.1
692,0.2,"[52.108857, 4.363621]",92,True,71,6.9,825,117,-0.8,4196.6
693,0.2,"[52.108814, 4.363554]",94,True,72,6.84,826,117,-0.8,4203.0
694,0.2,"[52.108769, 4.363489]",95,True,72,6.76,827,117,0.0,4209.5
695,0.2,"[52.108725, 4.363423]",95,True,70,6.6,828,117,1.5,4216.0
696,0.2,"[52.108681, 4.363358]",100,True,73,6.5,829,118,1.5,4222.6
697,0.6,"[52.108637, 4.363291]",123,True,70,6.62,830,117,1.5,4229.7
698,0.6,"[52.108594, 4.363223]",130,True,73,6.68,831,117,1.5,4236.4
699,0.6,"[52.108549, 4.363157]",133,True,70,6.72,832,117,0.0,4243.1
700,0.6,"[52.108503, 4.363092]",129,True,72,6.78,833,117,-0.8,4249.9
701,0.6,"[52.10846, 4.363027]",116,True,70,6.8,834,117,-0.8,4256.6
702,0.4,"[52.108419, 4.362962]",102,True,71,6.66,835,118,0.0,4263.0
703,0.4,"[52.108377, 4.362897]",109,True,72,6.56,836,118,0.8,4269.2
704,0.6,"[52.108335, 4.362827]",103,True,71,6.56,837,117,1.5,4275.9
705,0.8,"[52.108294, 4.362759]",96,True,72,6.5,838,117,1.5,4282.4
706,0.8,"[52.108253, 4.362691]",105,True,70,6.52,839,117,0.8,4289.2
707,0.8,"[52.108212, 4.362627]",119,True,69,6.48,840,117,0.0,4295.4
708,0.8,"[52.108171, 4.362564]",110,True,68,6.5,841,117,0.8,4301.7
709,0.8,"[52.108129, 4.362501]",113,True,69,6.42,842,118,1.6,4308.0
710,1.0,"[52.108089, 4.362436]",109,True,69,6.44,843,117,1.6,4314.6
711,1.2,"[52.108048, 4.362372]",106,True,69,6.32,844,117,2.4,4320.8
712,1.2,"[52.108007, 4.362307]",102,True,71,6.32,845,117,1.6,4327.0
713,1.4,"[52.107965, 4.36224]",117,True,68,6.36,846,118,0.0,4333.5
714,1.4,"[52.107921, 4.362174]",128,True,70,6.46,847,118,0.0,4340.3
715,1.2,"[52.107878, 4.362107]",151,True,71,6.46,848,118,-1.5,4346.9
716,1.2,"[52.107837, 4.362039]",113,True,71,6.52,849,118,-1.5,4353.4
717,1.0,"[52.107797, 4.36197]",113,True,71,6.58,850,119,-1.5,4359.9
718,1.0,"[52.107758, 4.361898]",105,True,68,6.56,851,119,-1.5,4366.3
719,0.8,"[52.107718, 4.361824]",112,True,70,6.6,852,118,-0.8,4373.3
720,0.8,"[52.107679, 4.361755]",110,True,71,6.6,853,119,-0.8,4379.9
721,0.8,"[52.10764, 4.361688]",117,True,72,6.56,854,119,0.0,4386.2
722,0.8,"[52.1076, 4.361621]",112,True,70,6.48,855,118,0.0,4392.3
723,0.8,"[52.107559, 4.361554]",110,True,71,6.52,856,119,0.0,4398.9
724,0.8,"[52.107519, 4.361486]",102,True,69,6.4,857,119,0.0,4405.3
725,0.8,"[52.10748, 4.361417]",102,True,68,6.34,858,119,-0.8,4411.6
726,0.8,"[52.10744, 4.361346]",126,True,70,6.42,859,118,-0.8,4418.3
727,0.6,"[52.107402, 4.361277]",128,True,68,6.46,860,119,0.0,4424.6
728,0.6,"[52.107363, 4.361205]",125,True,70,6.46,861,119,0.0,4431.2
729,0.8,"[52.107324, 4.361136]",133,True,70,6.48,862,118,1.5,4437.7
730,0.8,"[52.107285, 4.361067]",126,True,71,6.5,863,118,1.6,4444.1
731,1.0,"[52.107246, 4.360995]",126,True,71,6.46,864,118,0.8,4450.6
732,1.0,"[52.107208, 4.360924]",117,True,71,6.46,865,118,0.8,4456.9
733,1.0,"[52.107169, 4.360852]",97,True,70,6.52,866,118,-0.8,4463.8
734,1.0,"[52.107132, 4.36078]",94,True,70,6.48,867,118,-0.8,4470.1
735,0.8,"[52.107095, 4.360707]",98,True,70,6.52,868,117,-0.8,4476.7
736,0.8,"[52.107061, 4.360634]",115,True,71,6.44,869,117,-0.8,4482.8
737,0.8,"[52.107025, 4.360557]",122,True,70,6.46,870,117,0.0,4489.2
738,0.8,"[52.106989, 4.360477]",117,True,70,6.44,871,118,0.0,4496.0
739,0.8,"[52.106953, 4.360397]",104,True,71,6.56,872,117,0.0,4502.9
740,0.8,"[52.106917, 4.360317]",98,True,73,6.6,873,117,0.0,4509.7
741,0.8,"[52.106882, 4.360238]",100,True,72,6.74,874,118,0.0,4516.5
742,0.8,"[52.106846, 4.360159]",105,True,71,6.8,875,117,-0.7,4523.2
743,0.8,"[52.106812, 4.36008]",113,True,72,6.78,876,117,-0.8,4529.9
744,0.6,"[52.106777, 4.360001]",110,True,71,6.72,877,118,-0.8,4536.5
745,0.6,"[52.106743, 4.359925]",98,True,71,6.66,878,117,0.0,4543.0
746,0.6,"[52.106706, 4.359848]",114,True,71,6.62,879,117,0.8,4549.6
747,0.8,"[52.10667, 4.359773]",124,True,72,6.58,880,118,1.5,4556.1
748,0.8,"[52.106632, 4.359697]",118,True,71,6.58,881,118,0.7,4562.8
749,1.0,"[52.106595, 4.35962]",103,True,72,6.6,882,118,-0.7,4569.5
750,0.8,"[52.106556, 4.359545]",103,True,72,6.66,883,118,-1.5,4576.3
751,0.6,"[52.106517, 4.35947]",102,True,72,6.64,884,118,-2.3,4582.8
752,0.4,"[52.106479, 4.359395]",104,True,72,6.7,885,118,-1.5,4589.6
753,0.4,"[52.10644, 4.359321]",105,True,72,6.66,886,117,-0.8,4596.1
754,0.4,"[52.1064, 4.35925]",102,True,72,6.68,887,117,0.8,4602.9
755,0.4,"[52.106358, 4.35918]",98,True,71,6.6,888,117,1.5,4609.3
756,0.6,"[52.106315, 4.359108]",102,True,73,6.66,889,117,1.5,4616.1
757,0.8,"[52.106271, 4.359039]",113,True,70,6.68,890,117,2.2,4623.0
758,0.8,"[52.106228, 4.358971]",85,True,72,6.76,891,117,0.7,4629.9
759,1.0,"[52.106189, 4.358903]",82,True,72,6.72,892,117,0.0,4636.5
760,0.8,"[52.106157, 4.358825]",85,True,71,6.7,893,117,-0.8,4642.8
761,0.8,"[52.106134, 4.358741]",77,True,71,6.56,894,117,-2.3,4648.9
762,0.6,"[52.106113, 4.358653]",73,True,71,6.42,895,117,-1.6,4655.1
763,0.4,"[52.106075, 4.35857]",79,True,71,6.44,896,117,-2.3,4662.1
764,0.4,"[52.106027, 4.35851]",68,True,73,6.42,897,117,-2.3,4668.6
765,0.2,"[52.105978, 4.358465]",79,True,68,6.34,898,117,-1.6,4674.5
766,0.0,"[52.105927, 4.358417]",96,True,65,6.38,899,117,-0.8,4680.8
767,0.0,"[52.105882, 4.358359]",148,True,65,6.44,900,116,0.8,4687.3
768,0.2,"[52.105839, 4.358295]",49,True,0,6.28,901,116,1.7,4693.5
769,0.4,"[52.105797, 4.358231]",0,True,0,6.16,902,116,2.7,4699.4
770,0.4,"[52.105759, 4.358177]",0,True,0,6.1,903,115,2.9,4705.0
771,0.6,"[52.105733, 4.358123]",0,True,0,5.78,904,114,3.1,4709.7
772,0.8,"[52.105705, 4.358071]",0,True,0,5.42,905,113,4.3,4714.4
773,1.0,"[52.105677, 4.358024]",0,True,0,5.1,906,113,5.6,4719.0
774,1.2,"[52.105648, 4.357975]",0,True,0,4.8,907,112,5.8,4723.4
775,1.6,"[52.105624, 4.357936]",0,True,0,4.5,908,112,5.3,4727.5
776,1.8,"[52.105601, 4.357895]",0,True,0,4.38,909,112,6.3,4731.6
777,1.8,"[52.105593, 4.35787]",0,True,0,3.94,910,111,4.4,4734.1
778,2.0,"[52.105585, 4.357854]",0,True,0,3.4,911,111,6.6,4736.0
779,2.0,"[52.105584, 4.357847]",0,True,0,2.64,912,109,6.6,4736.6
780,2.0,"[52.105585, 4.357847]",0,False,0,1.82,913,108,5.7,4736.6
781,2.2,"[52.105585, 4.357847]",0,False,0,1.0,914,108,5.1,4736.6
782,2.2,"[52.105585, 4.357847]",0,False,0,0.5,915,107,5.7,4736.6
783,2.2,"[52.105585, 4.357847]",0,False,0,0.12,916,106,3.5,4736.6
784,2.2,"[52.105585, 4.357847]",0,False,0,0.0,917,106,1.5,4736.6
785,2.2,"[52.105585, 4.357848]",0,False,0,0.0,918,106,1.6,4736.6
786,2.2,"[52.105573, 4.357839]",0,True,0,0.3,919,106,0.0,4738.1
787,2.2,"[52.105562, 4.357821]",0,True,0,0.58,920,106,0.0,4739.5
788,2.4,"[52.105548, 4.357787]",0,True,0,1.12,921,106,0.0,4742.2
789,2.2,"[52.105528, 4.357751]",0,True,0,1.8,922,105,0.0,4745.6
790,2.2,"[52.105506, 4.357714]",49,True,37,2.52,923,106,-1.3,4749.2
791,2.2,"[52.10548, 4.357678]",196,True,37,2.98,924,107,-1.2,4753.0
792,2.2,"[52.105454, 4.357626]",196,True,37,3.68,925,107,-1.1,4757.9
793,2.0,"[52.105425, 4.357576]",113,True,33,4.08,926,108,-2.0,4762.6
794,2.0,"[52.10539, 4.357527]",161,True,59,4.36,927,109,-1.9,4767.4
795,1.8,"[52.10535, 4.357479]",215,True,59,4.72,928,109,-0.9,4772.8
796,1.8,"[52.105304, 4.357436]",269,True,63,5.16,929,109,-1.7,4778.8
797,1.8,"[52.105258, 4.357398]",231,True,62,5.34,930,110,-0.9,4784.6
798,1.6,"[52.105211, 4.357358]",205,True,65,5.54,931,111,-1.7,4790.3
799,1.6,"[52.105166, 4.357312]",187,True,65,5.78,932,112,-1.7,4796.3
800,1.4,"[52.105125, 4.357256]",154,True,65,5.92,933,113,-0.8,4802.4
801,1.4,"[52.105086, 4.357197]",142,True,66,5.88,934,115,-0.8,4808.2
802,1.4,"[52.105046, 4.357134]",149,True,66,5.94,935,116,0.0,4814.3
803,1.4,"[52.105004, 4.35707]",143,True,67,6.12,936,117,0.8,4820.9
804,1.4,"[52.104965, 4.357004]",131,True,67,6.16,937,118,0.8,4827.1
805,1.6,"[52.104924, 4.356938]",129,True,71,6.24,938,118,0.8,4833.6
806,1.6,"[52.104884, 4.356873]",130,True,69,6.3,939,119,0.0,4839.7
807,1.6,"[52.104841, 4.356808]",131,True,67,6.38,940,119,-0.8,4846.2
808,1.4,"[52.104797, 4.356744]",129,True,72,6.42,941,119,-1.5,4853.0
809,1.4,"[52.104753, 4.356683]",133,True,70,6.46,942,119,-1.5,4859.4
810,1.2,"[52.10471, 4.35662]",141,True,70,6.48,943,120,-1.5,4866.0
811,1.2,"[52.104668, 4.356554]",155,True,70,6.54,944,120,-1.5,4872.4
812,1.0,"[52.104626, 4.356486]",155,True,71,6.54,945,120,-0.8,4878.9
813,1.0,"[52.104582, 4.356417]",140,True,72,6.54,946,119,-0.8,4885.7
814,1.0,"[52.104537, 4.356352]",131,True,72,6.6,947,119,0.7,4892.4
815,1.0,"[52.104492, 4.356288]",122,True,71,6.6,948,118,0.7,4899.0
816,1.2,"[52.104447, 4.356222]",116,True,72,6.68,949,119,2.2,4905.8
817,1.2,"[52.104403, 4.356156]",115,True,72,6.72,950,119,2.2,4912.5
818,1.6,"[52.104357, 4.356089]",118,True,73,6.72,951,119,1.5,4919.3
819,1.6,"[52.104312, 4.35602]",128,True,72,6.78,952,119,2.2,4926.3
820,1.6,"[52.104269, 4.355952]",120,True,74,6.8,953,119,1.5,4933.0
821,1.8,"[52.104227, 4.355883]",110,True,75,6.74,954,119,0.7,4939.5
822,2.0,"[52.104181, 4.355813]",101,True,73,6.78,955,119,0.7,4946.4
823,1.8,"[52.104137, 4.355742]",96,True,74,6.82,956,119,0.0,4953.4
824,1.8,"[52.104093, 4.35567]",92,True,73,6.82,957,119,-0.7,4960.4
825,1.8,"[52.104051, 4.355599]",92,True,74,6.86,958,119,-1.5,4967.3
826,1.8,"[52.10401, 4.355527]",94,True,73,6.88,959,120,-2.2,4973.9
827,1.4,"[52.103969, 4.355455]",102,True,75,6.86,960,119,-3.0,4980.7
828,1.2,"[52.103927, 4.355382]",100,True,72,6.8,961,119,-3.7,4987.4
829,1.0,"[52.103884, 4.355309]",93,True,73,6.8,962,119,-3.0,4994.4
830,0.8,"[52.103841, 4.355239]",102,True,74,6.74,963,120,-2.9,5001.0
831,0.6,"[52.103797, 4.355167]",111,True,73,6.78,964,119,-2.1,5007.8
832,0.4,"[52.103751, 4.355091]",109,True,75,6.88,965,119,-0.7,5015.1
833,0.4,"[52.103703, 4.355019]",115,True,77,7.0,966,119,0.7,5022.4
834,0.6,"[52.103655, 4.354949]",108,True,76,7.04,967,119,2.2,5029.6
835,0.8,"[52.103607, 4.354883]",107,True,72,7.1,968,120,2.9,5036.5
836,1.0,"[52.103561, 4.354819]",111,True,76,7.04,969,119,2.2,5043.0
837,1.2,"[52.103511, 4.354751]",86,True,77,6.98,970,119,0.7,5050.0
838,1.2,"[52.103464, 4.354683]",94,True,74,7.02,971,120,0.0,5057.5
839,1.0,"[52.103416, 4.354617]",107,True,77,7.0,972,119,-1.4,5064.6
840,1.0,"[52.10337, 4.354552]",105,True,75,6.96,973,119,-2.1,5071.3
841,0.8,"[52.103322, 4.354482]",98,True,74,7.04,974,119,-0.7,5078.2
842,0.6,"[52.103275, 4.354414]",100,True,76,7.1,975,119,-0.7,5085.5
843,0.8,"[52.103229, 4.354344]",100,True,75,7.02,976,119,0.7,5092.6
844,0.8,"[52.103184, 4.354272]",99,True,74,7.0,977,119,1.4,5099.6
845,1.0,"[52.10314, 4.354195]",101,True,76,7.1,978,119,1.4,5106.8
846,1.0,"[52.103097, 4.354118]",107,True,75,7.2,979,119,0.7,5114.2
847,1.2,"[52.103055, 4.354041]",105,True,77,7.14,980,119,-0.7,5121.2
848,1.0,"[52.103015, 4.353965]",97,True,75,7.1,981,119,-0.7,5128.1
849,0.8,"[52.102975, 4.353892]",95,True,75,6.96,982,119,-1.5,5134.4
850,0.8,"[52.102934, 4.353816]",101,True,75,6.88,983,119,0.0,5141.2
851,0.8,"[52.102894, 4.353737]",98,True,73,6.8,984,119,0.7,5148.2
852,1.0,"[52.102852, 4.353661]",119,True,75,6.72,985,119,1.4,5154.8
853,1.0,"[52.102809, 4.353581]",131,True,74,6.82,986,119,1.4,5162.2
854,1.2,"[52.102768, 4.353503]",129,True,74,7.0,987,119,0.0,5169.4
855,1.2,"[52.102727, 4.353425]",105,True,73,7.02,988,119,0.0,5176.3
