timepoint,time,moving,watts
398,398,True,127
399,399,True,117
400,400,True,118
401,401,True,137
402,402,True,136
403,403,True,128
404,404,True,118
405,405,True,150
406,406,True,152
407,407,True,127
408,408,True,127
409,409,True,130
410,410,True,131
411,411,True,140
412,412,True,117
413,413,True,115
414,414,True,124
415,415,True,122
416,416,True,112
417,417,True,112
418,418,True,120
419,419,True,128
420,420,True,121
421,421,True,117
422,422,True,111
423,423,True,116
424,424,True,120
425,425,True,135
426,426,True,132
427,427,True,126
428,428,True,131
429,429,True,132
430,430,True,125
431,431,True,117
432,432,True,117
433,433,True,129
434,434,True,124
435,435,True,124
436,436,True,0
437,437,True,0
438,438,True,0
439,439,True,0
440,440,True,0
441,441,True,0
442,442,True,0
443,443,True,0
444,444,True,0
445,445,True,0
446,446,True,0
447,447,True,0
448,448,True,0
449,449,True,0
450,450,True,0
451,451,True,0
452,452,True,0
453,586,False,0
454,587,True,154
455,588,True,153
456,589,True,153
457,590,True,143
458,591,True,146
459,592,True,152
460,593,True,153
461,594,True,150
462,595,True,144
463,596,True,136
464,597,True,126
465,598,True,118
466,599,True,118
467,600,True,111
468,601,True,107
469,602,True,90
470,603,True,83
471,604,True,94
472,605,True,106
473,606,True,99
474,607,True,102
475,608,True,107
476,609,True,113
477,610,True,117
478,611,True,0
479,612,True,0
480,613,True,0
481,614,True,0
482,615,True,0
483,616,True,0
484,617,True,0
485,618,True,0
486,619,True,0
487,620,True,0
488,621,True,237
489,622,True,233
490,623,True,118
491,624,True,126
492,625,True,134
493,626,True,137
494,627,True,148
495,628,True,148
496,629,True,122
497,630,True,144
498,631,True,117
499,632,True,99
500,633,True,83
501,634,True,80
502,635,True,89
503,636,True,91
504,637,True,94
505,638,True,93
506,639,True,94
507,640,True,105
508,641,True,105
509,642,True,102
510,643,True,84
511,644,True,102
512,645,True,100
513,646,True,105
514,647,True,100
515,648,True,115
516,649,True,107
517,650,True,87
518,651,True,86
519,652,True,85
520,653,True,91
521,654,True,94
522,655,True,76
523,656,True,85
524,657,True,78
525,658,True,69
526,659,True,75
527,660,True,80
528,661,True,76
529,662,True,64
530,663,True,61
531,664,True,80
532,665,True,78
533,666,True,75
534,667,True,71
535,668,True,76
536,669,True,80
537,670,True,101
538,671,True,110
539,672,True,101
540,673,True,108
541,674,True,86
542,675,True,106
543,676,True,117
544,677,True,116
545,678,True,129
546,679,True,137
547,680,True,137
548,681,True,128
549,682,True,126
550,683,True,111
551,684,True,98
552,685,True,92
553,686,True,97
554,687,True,87
555,688,True,84
556,689,True,86
557,690,True,92
558,691,True,115
559,692,True,114
560,693,True,106
561,694,True,104
562,695,True,98
563,696,True,106
564,697,True,149
565,698,True,144
566,699,True,132
567,700,True,124
568,701,True,113
569,702,True,108
570,703,True,112
571,704,True,121
572,705,True,115
573,706,True,114
574,707,True,122
575,708,True,116
576,709,True,128
577,710,True,113
578,711,True,105
579,712,True,114
580,713,True,118
581,714,True,120
582,715,True,113
583,716,True,112
584,717,True,116
585,718,True,111
586,719,True,102
587,720,True,90
588,721,True,94
589,722,True,114
590,723,True,119
591,724,True,109
592,725,True,103
593,726,True,99
594,727,True,97
595,728,True,91
596,729,True,88
597,730,True,98
598,731,True,87
599,732,True,104
600,733,True,109
601,734,True,112
602,735,True,102
603,736,True,105
604,737,True,105
605,738,True,92
606,739,True,68
607,740,True,77
608,741,True,119
609,742,True,122
610,743,True,117
611,744,True,112
612,745,True,102
613,746,True,87
614,747,True,111
615,748,True,108
616,749,True,101
617,750,True,105
618,751,True,101
619,752,True,93
620,753,True,90
621,754,True,105
622,755,True,107
623,756,True,122
624,757,True,116
625,758,True,104
626,759,True,99
627,760,True,103
628,761,True,110
629,762,True,106
630,763,True,108
631,764,True,104
632,765,True,101
633,766,True,94
634,767,True,90
635,768,True,140
636,769,True,130
637,770,True,108
638,771,True,113
639,772,True,110
640,773,True,108
641,774,True,96
642,775,True,98
643,776,True,103
644,777,True,114
645,778,True,121
646,779,True,118
647,780,True,105
648,781,True,113
649,782,True,115
650,783,True,113
651,784,True,109
652,785,True,114
653,786,True,130
654,787,True,122
655,788,True,116
656,789,True,124
657,790,True,127
658,791,True,112
659,792,True,96
660,793,True,89
661,794,True,76
662,795,True,90
663,796,True,104
664,797,True,128
665,798,True,135
666,799,True,127
667,800,True,117
668,801,True,129
669,802,True,129
670,803,True,138
671,804,True,148
672,805,True,129
673,806,True,124
674,807,True,108
675,808,True,104
676,809,True,98
677,810,True,124
678,811,True,116
679,812,True,107
680,813,True,112
681,814,True,103
682,815,True,100
683,816,True,107
684,817,True,103
685,818,True,98
686,819,True,99
687,820,True,98
688,821,True,106
689,822,True,110
690,823,True,110
691,824,True,93
692,825,True,92
693,826,True,94
694,827,True,95
695,828,True,95
696,829,True,100
697,830,True,123
698,831,True,130
699,832,True,133
700,833,True,129
701,834,True,116
702,835,True,102
703,836,True,109
704,837,True,103
705,838,True,96
706,839,True,105
707,840,True,119
708,841,True,110
709,842,True,113
710,843,True,109
711,844,True,106
712,845,True,102
713,846,True,117
714,847,True,128
715,848,True,151
716,849,True,113
717,850,True,113
718,851,True,105
719,852,True,112
720,853,True,110
721,854,True,117
722,855,True,112
723,856,True,110
724,857,True,102
725,858,True,102
726,859,True,126
727,860,True,128
728,861,True,125
729,862,True,133
730,863,True,126
731,864,True,126
732,865,True,117
733,866,True,97
734,867,True,94
735,868,True,98
736,869,True,115
737,870,True,122
738,871,True,117
739,872,True,104
740,873,True,98
741,874,True,100
742,875,True,105
743,876,True,113
744,877,True,110
745,878,True,98
746,879,True,114
747,880,True,124
748,881,True,118
749,882,True,103
750,883,True,103
751,884,True,102
752,885,True,104
753,886,True,105
754,887,True,102
755,888,True,98
756,889,True,102
757,890,True,113
758,891,True,85
759,892,True,82
760,893,True,85
761,894,True,77
762,895,True,73
763,896,True,79
764,897,True,68
765,898,True,79
766,899,True,96
767,900,True,148
768,901,True,49
769,902,True,0
770,903,True,0
771,904,True,0
772,905,True,0
773,906,True,0
774,907,True,0
775,908,True,0
776,909,True,0
777,910,True,0
778,911,True,0
779,912,True,0
780,913,False,0
781,914,False,0
782,915,False,0
783,916,False,0
784,917,False,0
785,918,False,0
786,919,True,0
787,920,True,0
788,921,True,0
789,922,True,0
790,923,True,49
791,924,True,196
792,925,True,196
793,926,True,113
794,927,True,161
795,928,True,215
796,929,True,269
797,930,True,231
798,931,True,205
799,932,True,187
800,933,True,154
801,934,True,142
802,935,True,149
803,936,True,143
804,937,True,131
805,938,True,129
806,939,True,130
807,940,True,131
808,941,True,129
809,942,True,133
810,943,True,141
811,944,True,155
812,945,True,155
813,946,True,140
814,947,True,131
815,948,True,122
816,949,True,116
817,950,True,115
818,951,True,118
819,952,True,128
820,953,True,120
821,954,True,110
822,955,True,101
823,956,True,96
824,957,True,92
825,958,True,92
826,959,True,94
827,960,True,102
828,961,True,100
829,962,True,93
830,963,True,102
831,964,True,111
832,965,True,109
833,966,True,115
834,967,True,108
835,968,True,107
836,969,True,111
837,970,True,86
838,971,True,94
839,972,True,107
840,973,True,105
841,974,True,98
842,975,True,100
843,976,True,100
844,977,True,99
845,978,True,101
846,979,True,107
847,980,True,105
848,981,True,97
849,982,True,95
850,983,True,101
851,984,True,98
852,985,True,119
853,986,True,131
854,987,True,129
855,988,True,105
856,989,True,107
857,990,True,111
858,991,True,106
859,992,True,104
860,993,True,105
861,994,True,104
862,995,True,106
863,996,True,118
864,997,True,133
865,998,True,134
866,999,True,134
867,1000,True,132
868,1001,True,133
869,1002,True,129
870,1003,True,128
871,1004,True,127
872,1005,True,127
873,1006,True,119
874,1007,True,125
875,1008,True,118
876,1009,True,111
877,1010,True,111
878,1011,True,116
879,1012,True,102
880,1013,True,105
881,1014,True,125
882,1015,True,135
883,1016,True,123
884,1017,True,129
885,1018,True,139
886,1019,True,142
887,1020,True,133
888,1021,True,130
889,1022,True,126
890,1023,True,99
891,1024,True,98
892,1025,True,101
893,1026,True,100
894,1027,True,112
895,1028,True,119
896,1029,True,126
897,1030,True,139
898,1031,True,141
899,1032,True,132
900,1033,True,131
901,1034,True,135
902,1035,True,129
903,1036,True,126
904,1037,True,123
905,1038,True,118
906,1039,True,133
907,1040,True,127
908,1041,True,124
909,1042,True,115
910,1043,True,128
911,1044,True,127
912,1045,True,127
913,1046,True,125
914,1047,True,123
915,1048,True,113
916,1049,True,113
917,1050,True,123
918,1051,True,121
919,1052,True,123
920,1053,True,119
921,1054,True,114
922,1055,True,113
923,1056,True,112
924,1057,True,106
925,1058,True,112
926,1059,True,123
927,1060,True,120
928,1061,True,116
929,1062,True,122
930,1063,True,124
931,1064,True,116
932,1065,True,114
933,1066,True,97
934,1067,True,92
935,1068,True,81
936,1069,True,104
937,1070,True,114
938,1071,True,118
939,1072,True,115
940,1073,True,114
941,1074,True,118
942,1075,True,102
943,1076,True,101
944,1077,True,98
945,1078,True,88
946,1079,True,92
947,1080,True,126
948,1081,True,134
949,1082,True,130
950,1083,True,110
951,1084,True,98
952,1085,True,85
953,1086,True,96
954,1087,True,102
955,1088,True,114
956,1089,True,121
957,1090,True,128
958,1091,True,128
959,1092,True,124
960,1093,True,129
961,1094,True,129
962,1095,True,131
963,1096,True,116
964,1097,True,109
965,1098,True,118
966,1099,True,123
967,1100,True,125
968,1101,True,134
969,1102,True,118
970,1103,True,116
971,1104,True,122
972,1105,True,124
973,1106,True,125
974,1107,True,120
975,1108,True,123
976,1109,True,123
977,1110,True,120
978,1111,True,119
979,1112,True,120
980,1113,True,100
981,1114,True,106
982,1115,True,127
983,1116,True,128
984,1117,True,122
